sheet,row,column,message,level
studyDesignTiming,53,9,Unable to set the units code for the range '3..3 minutes',Error
studyAmendments,4,5,"Failed to decode geographic scope 'Country=USA'. Formats are 'Global', 'Region: <value>' or 'Country: <value>'. Assuming global scope.",Warning
amendmentChanges,8,7,Could not decode section reference 'All'.,Error
amendmentChanges,16,7,Could not decode section reference 'All sections'.,Error
studyDesignSites,1,-1,Error attempting to read cell 'siteCountry'. Exception: Failed to detect column(s) 'siteCountry' in sheet,Error
studyDesignConditions,1,6,"No condition references found for '', at least one required",Error
studyDesignConditions,15,6,"No condition references found for '', at least one required",Error
studyDesignConditions,16,6,"No condition references found for '', at least one required",Error
studyDesignConditions,18,6,"No condition references found for '', at least one required",Error
