sheet,row,column,message,level
studyDesignTiming,53,9,Unable to set the units code for the range '3..3 minutes',Error
mainTimeline,,,Unable to find timeline with name 'pkPdTimeline',Error
,,,Unable to find timing 'from' reference with name PKPD -0-5,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 0,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 1,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 2,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 3,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 4,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 5,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 6,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 8,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 12,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Unable to find timing 'from' reference with name PKPD 24,Error
,,,Unable to find timing 'to' reference with name PKPD 0,Error
,,,Timing with name 'TIM53' not referenced,Error
,,,Timing with name 'TIM54' not referenced,Error
,,,Timing with name 'TIM55' not referenced,Error
,,,Timing with name 'TIM56' not referenced,Error
,,,Timing with name 'TIM57' not referenced,Error
,,,Timing with name 'TIM58' not referenced,Error
,,,Timing with name 'TIM59' not referenced,Error
,,,Timing with name 'TIM60' not referenced,Error
,,,Timing with name 'TIM61' not referenced,Error
,,,Timing with name 'TIM62' not referenced,Error
,,,Timing with name 'TIM63' not referenced,Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ2', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END2', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ3', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END3', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ4', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END4', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ5', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END5', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ6', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END6', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ7', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END7', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
