sheet,row,column,message,level
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ8', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END8', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ9', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END9', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ10', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END10', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ11', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END11', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ12', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END12', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ13', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END13', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ14', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END14', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Failed to open image file 'study_design.png', ignored",Error
studyDesignContent,,,"Exception. Error raised generating timeline, name not available. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ2', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END2', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ3', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END3', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ4', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END4', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ5', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END5', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ6', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END6', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ7', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END7', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ8', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END8', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ9', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END9', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ10', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END10', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ11', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END11', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ12', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END12', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ13', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END13', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'OBJ14', 'klass': 'Objective', 'attribute': 'text'}'. See log for additional details.",Error
studyDesignContent,,,"Exception. Failed to resolve document macro '{'id': 'xref', 'name': 'END14', 'klass': 'Endpoint', 'attribute': 'text'}'. See log for additional details.",Error
