sheet,row,column,message,level
studyAmendments,1,-1,"No geographic scope column found, assuming global scope.",Warning
studyAmendments,,,Exception. Error [invalid literal for int() with base 10: 'A'] while reading sheet 'studyAmendments'. See log for additional details.,Error
studyDesignInterventions,,,"durationWillVary is false, ignoring reason 'Not applicable'",Warning
studyDesignInterventions,,,"durationWillVary is false, ignoring reason 'Not applicable'",Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_1': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_2': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_8': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_10': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_11': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_25': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_39': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_56': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_66': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_67': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_68': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_84': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_97': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_103': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_104': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_105': Removed disallowed <style> element,Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_106': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_107': Removed disallowed <style> element,Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_108': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_109': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_110': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_111': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_112': Repaired malformed HTML (mismatched/unclosed tags),Warning
studyDesignEligibilityCriteria,,,XHTML sanitised in EligibilityCriterionItem 'INC1': Repaired malformed HTML (mismatched/unclosed tags),Warning
studyDesignEligibilityCriteria,,,XHTML sanitised in EligibilityCriterionItem 'INC3': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,"Failed to translate element method name 'missing' in '{'id': 'element', 'name': 'missing'}', invalid method",Error
