sheet,row,column,message,level
studyIdentifiers,1,6,"Address does not contain the required fields (line, city, district, state, postal code and country code) using '|' separator characters, only 5 found",Error
mainTimeline,6,4,"Could not decode the duration value, no value and units found in '0..14 Days'",Error
mainTimeline,6,7,Ignoring '+' in +13 Days,Warning
mainTimeline,6,8,Ignoring '+' in +1 Days,Warning
mainTimeline,6,9,Ignoring '+' in +14 Days,Warning
mainTimeline,6,10,Ignoring '+' in +1 Days,Warning
mainTimeline,6,11,Ignoring '+' in +13 Days,Warning
mainTimeline,6,12,Ignoring '+' in +14 Days,Warning
mainTimeline,6,13,Ignoring '+' in +1 Days,Warning
mainTimeline,6,14,Ignoring '+' in +27 Days,Warning
mainTimeline,6,15,Ignoring '+' in +1 Days,Warning
mainTimeline,6,16,Ignoring '+' in +27 Days,Warning
mainTimeline,6,17,Ignoring '+' in +1 Days,Warning
mainTimeline,6,18,Ignoring '+' in +27 Days,Warning
mainTimeline,6,19,Ignoring '+' in +1 Days,Warning
mainTimeline,6,20,Ignoring '+' in +27 Days,Warning
mainTimeline,6,21,Ignoring '+' in +14 Days,Warning
