sheet,row,column,message,level
studyIdentifiers,1,6,"Address does not contain the required fields (line, city, district, state, postal code and country code) using ',' separator characters, only 0 found",Error
mainTimeline,6,4,"Could not decode the duration value, no value and units found in ''",Error
mainTimeline,8,4,"Could not decode the window value, not all required parts detected in '-'",Error
mainTimeline,6,5,Ignoring '+' in +14 Days,Warning
mainTimeline,8,5,Ignoring '-' in -2Days,Warning
mainTimeline,6,6,Ignoring '+' in +14 Days,Warning
mainTimeline,8,6,"Could not decode the window value, not all required parts detected in '-'",Error
