sheet,row,column,message,level
profile1,8,4,"Could not decode the window value, not all required parts detected in '-'",Error
profile1,8,5,"Could not decode the window value, not all required parts detected in '-'",Error
profile1,8,6,"Could not decode the window value, not all required parts detected in '-'",Error
profile1,8,7,"Could not decode the window value, not all required parts detected in '-'",Error
profile1,8,8,"Could not decode the window value, not all required parts detected in '-'",Error
mainTimeline,6,4,"Could not decode the duration value, no value and units found in '0..2 Days'",Error
mainTimeline,6,5,Could not decode the duration value 'Pre Dose',Error
mainTimeline,6,7,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,8,Ignoring '+' in +7 Days,Warning
mainTimeline,8,8,Ignoring '-' in -3Days,Warning
