sheet,row,column,message,level
studyIdentifiers,1,6,"Address does not contain the required fields (line, city, district, state, postal code and country code) using ',' separator characters, only 0 found",Error
studyIdentifiers,2,6,"Address does not contain the required fields (line, city, district, state, postal code and country code) using ',' separator characters, only 0 found",Error
mainTimeline,6,4,"Could not decode the duration value, no value and units found in '0..2 Days'",Error
mainTimeline,6,5,Could not decode the duration value 'Pre Dose',Error
mainTimeline,6,7,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,8,Ignoring '+' in +36 Hours,Warning
mainTimeline,6,9,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,10,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,11,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,12,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,13,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,14,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,15,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,16,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,17,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,18,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,19,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,20,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,21,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,22,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,23,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,24,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,25,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,26,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,27,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,28,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,29,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,30,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,31,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,32,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,33,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,34,Ignoring '+' in +24 Hours,Warning
mainTimeline,6,35,Ignoring '+' in +7 Days,Warning
mainTimeline,8,35,Ignoring '-' in -3Days,Warning
mainTimeline,6,36,Ignoring '+' in +10 Days,Warning
mainTimeline,8,36,Ignoring '-' in -3Days,Warning
mainTimeline,6,37,Ignoring '+' in +15 Days,Warning
mainTimeline,8,37,Ignoring '-' in -3Days,Warning
mainTimeline,6,38,Ignoring '+' in +30 Days,Warning
