sheet,row,column,message,level
studyDesign,9,1,"Masking has been moved to the 'roles' sheet, value ignored",Warning
studyDesignInterventions,,,"durationWillVary is false, ignoring reason 'Need reason'",Warning
studyDesignInterventions,,,"durationWillVary is false, ignoring reason 'Need reason'",Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_1': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_4': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_5': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_7': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_13': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_21': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_22': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_27': Removed disallowed 'type' attribute from <ol>,Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_35': Removed disallowed <style> element,Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_36': Removed disallowed 'type' attribute from <ol>,Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_38': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_39': Removed disallowed <style> element,Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_46': Removed disallowed 'type' attribute from <ol>,Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_66': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_79': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_81': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_82': Repaired malformed HTML (mismatched/unclosed tags),Warning
documentContent,,,XHTML sanitised in NarrativeContentItem 'NCI_83': Repaired malformed HTML (mismatched/unclosed tags),Warning
studyDesignEligibilityCriteria,,,XHTML sanitised in EligibilityCriterionItem 'IN05': Repaired malformed HTML (mismatched/unclosed tags),Warning
studyDesignEligibilityCriteria,,,XHTML sanitised in EligibilityCriterionItem 'EX20': Repaired malformed HTML (mismatched/unclosed tags),Warning
studyDesignEligibilityCriteria,,,XHTML sanitised in EligibilityCriterionItem 'EX23': Repaired malformed HTML (mismatched/unclosed tags),Warning
